UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,DUNS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C18BASIC,C18IPUG,C18IPGRD,C18UGPRF,C18ENPRF,C18SZSET,C15BASIC,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,NECTA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG,YEAR
222567,Alvin Community College,Alvin|ACC|Dolphins,3110 Mustang Rd,Alvin,TX,77511-4898,48,6,Dr. Christal Albrecht,President,2817563500,741405330,077420917,353900,1,www.alvincollege.edu/,www.alvincollege.edu/admissions/,www.alvincollege.edu/Financial-Aid,https://www.applytexas.org/adappc/gen/c_start.WBX,www.alvincollege.edu/financial-aid/netprice/npcalc.htm,www.alvincollege.edu/veterans/,www.alvincollege.edu/student-information/student-right-to-know.html,www.alvincollege.edu/Disability-Services,4,2,1,4,1,2,40,1,2,-2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,4,6,2,0,1,1,3,5,3,40,2,3,2,-2,-2,26420,1,288,-2,48039,Brazoria County,4822,-95.240671,29.396244,79,1,2020
222576,Amarillo College, ,2011 S. Washington,Amarillo,TX,79109,48,6,Dr. Russell Lowery-Hart,President,8063715000,756000031,073186108,354000,1,www.actx.edu/,www.actx.edu/admission/,https://www.actx.edu/fin/,https://www.actx.edu/enroll/,https://www.actx.edu/fin/net-price-calculator,https://www.actx.edu/veterans/, ,https://www.actx.edu/disability/,4,2,1,3,1,2,40,1,2,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,4,4,2,0,1,1,4,4,3,40,2,3,2,-2,-2,11100,1,108,-2,48375,Potter County,4813,-101.846988,35.187839,73,1,2020
222822,Angelina College,AC,3500 South First,Lufkin,TX,75902-1768,48,6,Michael J. Simon,President,9366391301,751244347,074166273|145360975|185582470|947721940|134116024|113485911|619289106,666100,1,www.angelina.edu/,www.angelina.edu/records,www.angelina.edu/financial-aid,https://myac.angelina.edu/ICS/Admissions,www.collegeforalltexans.com/apps/CollegeMoney/,www.angelina.edu/va-benefits/, ,www.angelina.edu/studentaccess/inclusion/,4,2,1,3,1,2,40,1,2,-2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,4,8,3,0,1,1,3,5,2,40,2,2,2,-2,-2,31260,2,-2,-2,48005,Angelina County,4801,-94.731625,31.287444,85,1,2020
222831,Angelo State University,Angelo State,2601 W. Avenue N,San Angelo,TX,76909,48,6,Ronnie D. Hawkins,President,3259422555,756002403,073157737,354100,1,www.angelo.edu/,www.angelo.edu/dept/admissions/,https://www.angelo.edu/admissions-and-aid/paying-for-college/tuition-and-fees/net-price-calculator.php,www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/,www.angelo.edu/dept/veterans/,www.angelosports.com/,https://www.angelo.edu/services/disability-services/,1,1,1,9,1,1,13,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,4,11,4,13,18,19,21,2,4,1,Texas Tech University System,148050,41660,1,-2,-2,48451,Tom Green County,4811,-100.465051,31.440914,108,1,2020
222992,Austin Community College District, ,5930 Middle Fiskville Rd,Austin,TX,78752,48,6,Dr. Richard M. Rhodes,Chancellor,5122237000,741742036,078493517,1201500,1,www.austincc.edu/,www.austincc.edu/admissions,www.austincc.edu/students/financial-aid,www.austincc.edu/admissions,www.austincc.edu/students/financial-aid/explore-your-financial-aid/cost-of-attendance/net-price-calculator, ,www.austincc.edu/graduation-retention-and-transfer-rates,www.austincc.edu/support-and-services/services-for-students/student-accessibility-services-and-assistive-technology,1,1,1,5,1,2,30,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,3,5,1,0,1,1,5,6,7,40,2,5,2,-2,-2,12420,1,-2,-2,48453,Travis County,4810,-97.712505,30.322744,189,1,2020
223320,Coastal Bend College,CBC,3800 Charco Rd,Beeville,TX,78102,48,6,Dr. Justin Hoggard,President,3613542200,741542306,074608902|050013486|159388750|793747531,354600,1,www.coastalbend.edu/,www.coastalbend.edu/Admissions/,www.coastalbend.edu/FinAid/,www.coastalbend.edu/admissions_application/,www.collegeforalltexans.com/apps/CollegeMoney/,coastalbend.edu/TwoColumnLeft.aspx?pageid=8079&terms=military tuition, ,coastalbend.edu/specialneeds/,4,2,1,4,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,9,3,0,1,1,3,7,2,40,2,2,2,-2,-2,13300,2,-2,-2,48025,Bee County,4834,-97.755896,28.435194,88,1,2020
223427,Blinn College, ,902 College Ave,Brenham,TX,77833-4098,48,6,Dr. Mary Hensley,Chancellor of the Blinn College District,9798304000,746000400,078444817,354900,1,www.blinn.edu/,www.blinn.edu/admissions/,https://www.blinn.edu/financial-aid/index.html,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/,https://www.blinn.edu/veteran-services/index.html,https://www.blinn.edu/student-services/student-consumer-information.html,www.blinn.edu/Disability/index.html,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,1,1,0,2,1,5,1,3,40,2,4,2,-2,-2,14780,2,288,-2,48477,Washington County,4810,-96.40852,30.160457,62,2,2020
223506,Brazosport College,BC,500 College Dr,Lake Jackson,TX,77566,48,6,Millicent M Valek,President,9792303000,741587881,079913091,728700,1,www.brazosport.edu/,www.brazosport.edu/students/future-students/admissions/,www.brazosport.edu/students/paying-for-college/financial-aid/,www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/,brazosport.edu/students/for-students/counseling-testing/veterans-services/, ,brazosport.edu/students/for-students/counseling-testing/disability-services/,1,1,1,5,1,2,30,1,2,2,2,2,23,1,A ,-2,-2,-2,1,1,1,1,1,3,23,5,0,5,2,9,14,12,40,2,2,2,-2,-2,26420,1,288,-2,48039,Brazoria County,4814,-95.40934,29.048604,195,1,2020
223524,Brookhaven College, ,3939 Valley View Ln,Farmers Branch,TX,75244-4997,48,6, , , ,-1, ,2100200,5, , , , , , , , ,4,2,1,3,1,2,40,1,2,-2,-2,2,21,1,C ,224615,2020,-2,3,1,3,9,-2,-2,6,1,0,1,1,4,3,7,40,2,-2,-2,-2,-2,19100,1,206,-2,48113,Dallas County,4824,-96.850152,32.928231,-2,-2,2020
223773,Cedar Valley College, ,3030 North Dallas Ave,Lancaster,TX,75134-3799,48,6, , , ,-1, ,356100,5, , , , , , , , ,4,2,1,3,1,2,40,1,2,-2,-2,2,41,1,C ,224615,2020,-2,3,1,3,9,-2,-2,6,2,0,1,1,3,6,7,40,2,-2,-2,-2,-2,19100,1,206,-2,48113,Dallas County,4830,-96.763413,32.62568,-2,-2,2020
223816,Central Texas College, ,6200 West Central Texas Expressway,Killeen,TX,76549-4199,48,6,Jim Yeonopolus,Chancellor,2545267161,741539003,074875279,400300,1,www.ctcd.edu/,www.ctcd.edu/academics/catalog/catalog-texas/admissions-and-registration/,www.ctcd.edu/students/current-ctc-students/financial-aid/,ctc4me.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,www.collegeforalltexans.com/apps/CollegeMoney/,www.ctcd.edu/students/military-students-veterans-and-spouses/, ,www.ctcd.edu/locations/central-campus/student-support/student-success-persistence/disability-support-services/,4,2,1,3,1,2,40,1,2,-2,2,2,22,1,A ,-2,-2,-2,1,1,1,1,1,4,3,1,0,1,1,4,3,8,40,2,4,2,-2,-2,28660,1,-2,-2,48099,Coryell County,4825,-97.810827,31.120516,70,1,2020
223898,Cisco College, ,101 College Heights,Cisco,TX,76437,48,6,Dr. Thad Anglin,President,2544425000,751164343,073187205,355300,1,https://www.cisco.edu/,https://www.cisco.edu/admissions,https://www.cisco.edu/tuition-financial-aid/financial-aid,https://admin.cisco.edu/adm/admapp.html,www.collegeforalltexans.com/apps/CollegeMoney/, ,https://www.cisco.edu/uploads/files/general/Institutional-Effectiveness-and-Research/2018-Equity-in-Athletics-Disclosure-Act-Survey.pdf,https://www.cisco.edu/student-life/academic-support/counseling#specialpopulations,4,2,1,3,1,2,40,1,2,-2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,4,4,2,0,2,1,3,4,2,40,2,2,2,-2,-2,-2,-2,-2,-2,48133,Eastland County,4811,-98.985206,32.401132,74,1,2020
223922,Clarendon College, ,1122 College Drive,Clarendon,TX,79226,48,6,Mr. Texas Buckhaults,President,8068743571107,756055652,087493730,355400,1,www.clarendoncollege.edu/, , , ,www.collegeforalltexans.com/apps/CollegeMoney/,www.clarendoncollege.edu/students/financial_aid.php, ,www.clarendoncollege.edu/advising,4,2,1,3,1,2,40,1,2,-2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1,4,8,3,0,1,1,2,8,1,40,2,2,2,-2,-2,-2,-2,-2,-2,48129,Donley County,4813,-100.902421,34.944558,86,2,2020
224110,North Central Texas College,NCTC/North Central Texas Community College District/North Central Texas College District,1525 W California Street,Gainesville,TX,76240-4699,48,6,Brent Wallace,Chancellor,9406687731,751050382, ,355800,1,www.nctc.edu/,www.nctc.edu/admissions/index.html,www.nctc.edu/financial-aid/index.html,www.nctc.edu/catalog/admissions-information/general-admission-policy/admission-application.html,www.collegeforalltexans.com/apps/CollegeMoney/,www.nctc.edu/veteran-services/index.html,www.nctc.edu/financial-aid/consumer-information.html,www.nctc.edu/student-services/disability-services/index.html,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,4,1,0,1,1,4,1,3,40,2,3,2,-2,-2,23620,2,206,-2,48097,Cooke County,4813,-97.1658,33.6188,73,1,2020
224147,Texas A & M University-Corpus Christi, ,6300 Ocean Dr.,Corpus Christi,TX,78412-5503,48,6,Dr. Kelly Miller,President,3618255700,741760663,095100152,1116100,1,www.tamucc.edu/,admissions.tamucc.edu/,osfa.tamucc.edu/,admissions.tamucc.edu/admissions_forms.html,osfa.tamucc.edu/,vets.tamucc.edu/index.html,https://osfa.tamucc.edu/Islanders_Right_to_Know.html,disabilityservices.tamucc.edu/,1,1,1,9,1,1,11,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,16,13,18,11,4,16,17,17,21,2,4,1,Texas A&M University System,148020,18580,1,204,-2,48355,Nueces County,4827,-97.32395,27.713723,98,1,2020
224350,Del Mar College,DMC,101 Baldwin Blvd.,Corpus Christi,TX,78404-3897,48,6,"Mark Escamilla, Ph.D.",President,3616981200,746003102,063067359,356300,1,www.delmar.edu/,www.delmar.edu/Admissions_Requirements.aspx,www.delmar.edu/finaid/,www.delmar.edu/Applying_to_Del_Mar.aspx,www.delmar.edu/becoming-a-viking/afford/index.html, , ,www.delmar.edu/disability/,4,2,1,4,1,2,40,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,4,7,2,0,1,1,4,4,3,40,2,4,2,-2,-2,18580,1,204,-2,48355,Nueces County,4827,-97.40762,27.763619,82,1,2020
224545,Texas A&M University-Texarkana,A&M-Texarkana,7101 University Avenue,Texarkana,TX,75503,48,6,Emily Cutrer,President,9032233000,752655354,023039993,3170300,1,www.tamut.edu/,www.tamut.edu/Admissions,www.tamut.edu/Admissions/Enrollment-Services/Financial-Aid/index.html,https://www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/, , ,www.tamut.edu/Academics/Student-Support/Disability-Services/index.html,1,1,1,9,1,1,12,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,2,19,10,7,9,4,9,19,18,21,2,2,1,Texas A&M University System,148020,45500,1,-2,-2,48037,Bowie County,4804,-94.103617,33.490482,118,2,2020
224554,Texas A & M University-Commerce,A&M-Commerce,2600 South Neal Street,Commerce,TX,75428-3011,48,6,Mark Rudin,President & CEO,8888682682,756001353,073131419,356500,1,www.tamuc.edu/,www.tamuc.edu/admissions/,www.tamuc.edu/admissions/tuitionCosts/financialAidandScholarships/,www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/, ,www.tamuc.edu/admissions/registrar/generalInformation/student-right-to-know.aspx,www.tamuc.edu/CampusLife/CampusServices/studentDisabilityResourcesAndServices/default.aspx,1,1,1,9,1,1,12,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,2,17,11,18,9,5,13,16,17,16,2,4,1,Texas A&M University System,148020,19100,1,206,-2,48231,Hunt County,4804,-95.908451,33.243745,101,1,2020
224572,Eastfield College, ,3737 Motley Dr,Mesquite,TX,75150-2099,48,6, , , ,-1, ,851000,5, , , , , , , , ,4,2,1,3,1,2,40,1,2,-2,-2,2,21,1,C ,224615,2020,-2,3,1,3,9,-2,-2,3,2,0,1,1,4,6,7,40,2,-2,-2,-2,-2,19100,1,206,-2,48113,Dallas County,4805,-96.659462,32.815673,-2,-2,2020
224615,Dallas College, ,1601 South Lamar,Dallas,TX,75215-3604,48,6,Dr. Joe May,Chancellor,2143781824,751213149,066376278,445300,1,www.dcccd.edu/pages/default.aspx,www.dcccd.edu/admissions/pages/admissions-offices.aspx,www.dcccd.edu/paying-for-college/financial-aid/pages/contact.aspx,www1.dcccd.edu/stuapp/,www.dcccd.edu/paying-for-college/cost-tuition/pages/tuition-calculator.aspx,www.dcccd.edu/resources/veterans/pages/tuition-waiver.aspx, ,www.dcccd.edu/resources/disability-services/pages/default.aspx,1,1,1,5,1,2,30,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,3,9,2,0,1,1,3,6,7,40,2,5,1,Dallas County Community College District,148013,19100,1,206,-2,48113,Dallas County,4830,-96.794036,32.766319,189,2,2020
224642,El Paso Community College, ,9050 Viscount Blvd,El Paso,TX,79925-6507,48,6,Dr. William Serrata,President,9158312000,741690850,030160782,1038700,1,www.epcc.edu/,www.epcc.edu/Admissions,www.epcc.edu/Admissions/FinancialAid,www.epcc.edu/Admissions/enrollment-checklist,www.epcc.edu/Admissions/FinancialAid/how-awards-are-determined,www.epcc.edu/Services/Military-Veterans,www.epcc.edu/Services/Athletics,www.epcc.edu/Services/csd,4,2,1,3,1,2,40,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,4,1,1,0,1,1,5,1,7,40,2,5,2,-2,-2,21340,1,238,-2,48141,El Paso County,4816,-106.373616,31.773359,62,1,2020
224891,Frank Phillips College,FPC,1301 W. Roosevelt St.,Borger,TX,79008-5118,48,6,Dr. Glendon Forgey,President,8064574200,756001630,087490819,356800,1,www.fpctx.edu/,fpctx.edu/admissions/,fpctx.edu/paying-for-college/#financials-tab-3,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/, ,www.fpctx.edu/athletics/,fpctx.edu/academics/special-accomodations/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,3,3,0,1,1,2,9,1,40,2,2,2,-2,-2,14420,2,108,-2,48233,Hutchinson County,4813,-101.406005,35.657778,71,1,2020
224961,Galveston College, ,4015 Ave Q,Galveston,TX,77550-7496,48,6,Dr. W. Myles Shelton,President,4099441220,741561720,060716321,497200,1,www.gc.edu/,https://www.gc.edu/admissions/,https://www.gc.edu/financial-aid/,www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/, , ,https://gc.edu/student-services/counseling-career-center/students-with-special-needs/,1,1,1,5,1,2,30,1,2,2,2,2,31,1,A ,-2,-2,-2,1,1,1,1,1,3,5,2,0,1,1,2,6,2,40,2,2,2,-2,-2,26420,1,288,-2,48167,Galveston County,4814,-94.807686,29.284735,192,2,2020
225070,Grayson College, ,6101 Grayson Drive,Denison,TX,75020-8299,48,6,Dr.  Jeremy McMillen,President,9034152592,751169719,068971720,357000,1,grayson.edu/,https://grayson.edu/Apply/index.html,https://grayson.edu/FinancialAid/index.html,https://gcapp.grayson.edu/,https://grayson.edu/FinancialAid/net-price-calculator.html,https://grayson.edu/FinancialAid/Veterans Services Office/index.html,www.grayson.edu/Public Notices/student-notices--right-to-know.html,www.grayson.edu/gettingstarted/advising/Students with Disabilities.html,1,1,1,5,1,2,30,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,3,5,2,0,1,1,3,5,2,40,2,2,2,-2,-2,43300,1,206,-2,48181,Grayson County,4804,-96.633891,33.70574,191,1,2020
225308,Trinity Valley Community College,TVCC,100 Cardinal Drive,Athens,TX,75751,48,6,Dr. Jerry King,President,9036756200,756001769,075124321,357200,1,www.tvcc.edu/,www.tvcc.edu/Registrar/?d=222,www.tvcc.edu/financial-aid/?d=204,www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/, ,www.tvcc.edu/Financial-Aid/category.aspx?z=794,www.tvcc.edu/Cardinal-Success-Center/category.aspx?z=614,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,6,2,0,2,1,3,6,5,40,2,3,2,-2,-2,11980,2,206,-2,48213,Henderson County,4805,-95.858513,32.196596,79,2,2020
225371,Hill College, ,112 Lamar Dr,Hillsboro,TX,76645,48,6,Dr. Pam Boehm,President,2546597500,741404239,075096487,357300,1,https://www.hillcollege.edu/,https://www.hillcollege.edu/Admissions_Aid/ApplyNow/Index.html,https://www.hillcollege.edu/Admissions_Aid/FinancialAid/About-FA.html,https://www.hillcollege.edu/Admissions_Aid/ApplyNow/Index.html,https://www.hillcollege.edu/Admissions_Aid/FinancialAid/Net Price Calculator.html,www.hillcollege.edu/Admissions_Aid/Admissions/Veterans.html, ,https://www.hillcollege.edu/Student/Advising/ADA.html,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,6,3,0,1,1,3,8,2,40,2,2,2,-2,-2,-2,-2,-2,-2,48217,Hill County,4825,-97.088332,32.010928,79,1,2020
225414,University of Houston-Clear Lake,"UHCL| University of Houston - Clear Lake| University of Houston, Clear Lake| UH-CL|University of Houston - ClearLake| University of Houston-ClearLake",2700 Bay Area Blvd,Houston,TX,77058-1002,48,6,Dr. Ira Blake,President,2812837600,746001399,039674916|030534916|039674916,1171100,1,www.uhcl.edu/,www.uhcl.edu/admissions,www.uhcl.edu/costs-aid/,https://www.applytexas.org/adappc/gen/c_start.WBX,uhcl.studentaidcalculator.com/survey.aspx,www.uhcl.edu/veteran-services/, ,www.uhcl.edu/disability-services/,1,1,1,9,1,1,12,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,2,18,14,12,5,5,12,18,18,21,2,3,1,University of Houston System,148070,26420,1,288,-2,48201,Harris County,4836,-95.098129,29.582523,108,1,2020
225423,Houston Community College,HCC,3100 Main Street,Houston,TX,77002,48,6,Dr. Cesar Maldonado,Chancellor,8774226111,741709152,074162462,1063300,1,www.hccs.edu/,www.hccs.edu/applying-and-paying/,www.hccs.edu/applying-and-paying/financial-aid/,https://www.hccs.edu/applying-and-paying/,www.collegeforalltexans.com/apps/CollegeMoney/,www.hccs.edu/support-services/veteran-affairs/, ,www.hccs.edu/support-services/ability-services/,4,2,1,3,1,2,40,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,4,1,1,0,1,1,5,1,7,40,2,5,2,-2,-2,26420,1,288,-2,48201,Harris County,4818,-95.377319,29.742114,62,1,2020
225432,University of Houston-Downtown, ,1 Main Street,Houston,TX,77002-1014,48,6,Loren J. Blanchard,President,7132218000,746001399,039674494,361200,1,www.uhd.edu/,www.uhd.edu/admissions/,www.uhd.edu/financial/,www.uhd.edu/admissions/apply/Pages/admissions-application.aspx,www.uhd.edu/financial/cost/Pages/financial-cost-calculator.aspx,www.uhd.edu/veterans/, ,www.uhd.edu/student-life/disability/Pages/disability-index.aspx,1,1,1,7,1,1,20,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,7,5,3,12,20,22,32,2,4,1,University of Houston System,148070,26420,1,288,-2,48201,Harris County,4818,-95.359338,29.7661,107,1,2020
225502,University of Houston-Victoria, ,3007 N. Ben Wilson,Victoria,TX,77901,48,6,Robert K Glenn,President,3615704848,746001399,021551817,1323100,1,www.uhv.edu/,www.uhv.edu/admissions-at-uhv/,www.uhv.edu/financial-aid/,www.uhv.edu/apply/default.aspx,www.collegeforalltexans.com/apps/CollegeMoney/,www.uhv.edu/financial-aid/veterans/, ,www.uhv.edu/disability-services/,1,1,1,7,1,1,20,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,7,5,4,9,18,18,21,2,2,1,University of Houston System,148070,47020,1,544,-2,48469,Victoria County,4827,-96.976334,28.816248,110,1,2020
225511,University of Houston,UH,212 E. Cullen Building,Houston,TX,77204-2018,48,6,Dr. Renu Khator,Chancellor/President,7137431000,746001399,036837920,365200,1,www.uh.edu/,www.uh.edu/admissions/,www.uh.edu/financial/,www.applytexas.org/adappc/gen/c_start.WBX?s_logon_msg=Y,www.uh.edu/financial/net-price-calculator/, ,www.ncaa.org/about/resources/research/graduation-rates,uh.edu/csd/,1,1,1,9,1,1,11,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,15,17,15,9,4,15,15,15,15,2,5,1,University of Houston System,148070,26420,1,288,-2,48201,Harris County,4818,-95.343537,29.720393,93,1,2020
225520,Howard College,Howard County Junior College,1001 Birdwell Lane,Big Spring,TX,79720,48,6,Cheryl T. Sparks,President,4322645000,756001827,073180309,357400,1,https://www.howardcollege.edu/,https://howardcollege.edu/futurehawk-admissions/,https://howardcollege.edu/students/financial-aid-and-scholarships/,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/,https://howardcollege.edu/come-to-howard-college/veterans/,https://howardcollege.edu/home/about/consumer-information/,https://howardcollege.edu/ada/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,3,1,0,1,1,3,1,2,40,2,2,2,-2,-2,13700,2,-2,-2,48227,Howard County,4819,-101.450104,32.252292,70,1,2020
226019,Kilgore College, ,1100 Broadway,Kilgore,TX,75662-3299,48,6,Brenda Kays,President,9039848531,756001909,078385101,358000,1,https://www.kilgore.edu/,https://www.kilgore.edu//welcome.asp,https://www.kilgore.edu/financial_aid.asp,https://www.kilgore.edu/apply.asp,https://www.kilgore.edu/apply.asp,https://www.kilgore.edu/future-students/student-services/financial-aid/veterans-education-benefits,https://www.kilgore.edu/node/6291,https://www.kilgore.edu/current-students/student-services/disability-services,4,2,1,3,1,2,40,1,2,-2,2,2,31,1,A ,-2,-2,-2,1,1,1,1,1,4,7,3,0,2,1,3,4,2,40,2,3,2,-2,-2,30980,1,-2,-2,48183,Gregg County,4801,-94.871468,32.377821,82,1,2020
226091,Lamar University, ,4400 MLK Blvd,Beaumont,TX,77705,48,6,Kenneth Evans,President,4098807011,746000298,967315706,358100,1,www.lamar.edu/,www.lamar.edu/admissions/,financialaid.lamar.edu/,www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/,www.lamar.edu/financial-aid/veterans-affairs/index.html, ,www.lamar.edu/disability-resource-center/,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,17,16,18,7,4,13,17,17,21,2,4,1,Texas State University System,148040,13140,1,-2,-2,48245,Jefferson County,4814,-94.072244,30.042738,101,1,2020
226107,Lamar State College-Orange, ,410 Front St,Orange,TX,77630,48,6,Thomas Johnson,President,4098837750,746000298,966566135,2358200,1,www.lsco.edu/, , , ,www.collegeforalltexans.com/apps/CollegeMoney/,www.lsco.edu/veteransaffairs/veteransaffairs.asp, ,www.lsco.edu/advising/disability.asp,4,2,1,4,1,2,40,1,2,-2,2,2,22,1,A ,-2,-2,-2,1,1,1,1,1,4,8,3,0,1,1,2,7,2,40,2,2,1,Texas State University System,148040,13140,1,-2,-2,48361,Orange County,4836,-93.732235,30.0922,86,2,2020
226116,Lamar State College-Port Arthur, ,1500 Proctor St,Port Arthur,TX,77640,48,6,Dr. Betty Reynard,President,4099846342,760658056,966933764,2348500,1,www.lamarpa.edu/,www.lamarpa.edu/Future-Students/Admission-Information,www.lamarpa.edu/Current-Students/Financial-Aid,https://www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/,www.lamarpa.edu/Current-Students/Financial-Aid/Requirements/Veteran-Assistance,www.lamarpa.edu/About-LSCPA/Student-Right-to-Know,www.lamarpa.edu/Current-Students/Student-Information/Admission-Resources/Special-Populations,4,2,1,3,1,2,40,1,2,-2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,4,7,3,0,1,1,2,10,2,40,2,2,1,Texas State University System,148040,13140,1,-2,-2,48245,Jefferson County,4814,-93.925886,29.880385,83,1,2020
226134,Laredo College, ,West End Washington St,Laredo,TX,78040-4395,48,6,Dr. Ricardo J. Solis,President,9567215140,746001582,074615550,358200,1,www.laredo.edu/,www.laredo.edu/cms/admission.aspx,www.laredo.edu/cms/fa/,www.laredo.edu/cms/LCC/Admission/Apply_Now/,www.laredo.edu/financialaid/fa_calc.htm, ,www.laredo.edu/cms/LCC/About_LCC/Institutional_Research_and_Planning/Institutional_Research_and_Planning/,www.laredo.edu/cms/LCC/Student_Services/Special_Services_Center/Special_Services_Center/,1,1,1,5,1,2,30,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,3,4,2,0,1,1,4,4,3,40,2,3,2,-2,-2,29700,1,-2,-2,48479,Webb County,4828,-99.520772,27.506477,189,2,2020
